,Unnamed: 0,carat,cut,color,clarity,depth,table,cost,x,y,z,Zeroes,ones
56,57,0,Premium,J,SI2,59.3,61.0,405,4.43,4.38,2.61,56,3136
57,58,0,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2.67,57,3249
58,59,0,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2.71,58,3364
59,60,0,Good,I,SI1,63.2,55.0,405,4.25,4.29,2.7,59,3481
60,61,0,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,2.78,60,3600
61,62,0,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2.66,61,3721
62,63,0,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2.69,62,3844
63,64,0,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2.68,63,3969
64,65,0,Premium,I,SI2,61.5,59.0,552,4.78,4.84,2.96,64,4096
65,66,0,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,65,4225
66,67,0,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,66,4356
67,68,0,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2.73,67,4489
68,69,0,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2.68,68,4624
69,70,0,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,69,4761
70,71,0,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,70,4900
71,72,0,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2.7,71,5041
72,73,0,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2.68,72,5184
73,74,0,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2.67,73,5329
74,75,0,Good,H,SI1,63.7,57.0,554,4.28,4.26,2.72,74,5476
75,76,0,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,75,5625
76,77,0,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,76,5776
77,78,0,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,77,5929
78,79,0,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,78,6084
79,80,0,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,79,6241
80,81,0,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,80,6400
81,82,0,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,81,6561
82,83,0,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,82,6724
83,84,0,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,2.87,83,6889
84,85,0,Good,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,84,7056
85,86,0,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,85,7225
86,87,0,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,86,7396
87,88,0,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,87,7569
88,89,0,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,88,7744
89,90,0,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2.73,89,7921
90,91,0,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,90,8100
91,92,0,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,91,8281
92,93,0,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,92,8464
93,94,0,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,93,8649
94,95,0,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,94,8836
95,96,0,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,95,9025
96,97,0,Good,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,96,9216
97,98,0,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,97,9409
98,99,0,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,98,9604
99,100,0,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,99,9801
100,101,0,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,100,10000
101,102,0,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,101,10201
102,103,0,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,102,10404
103,104,0,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,103,10609
104,105,0,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,104,10816
105,106,0,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,105,11025
106,107,0,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,106,11236
107,108,0,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,107,11449
108,109,0,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,108,11664
109,110,0,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,109,11881
110,111,0,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,110,12100
111,112,0,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,111,12321
112,113,0,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,112,12544
113,114,0,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,113,12769
114,115,0,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,114,12996
115,116,0,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,115,13225
116,117,0,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,116,13456
117,118,0,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,117,13689
118,119,0,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,118,13924
119,120,0,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,119,14161
120,121,0,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,120,14400
121,122,0,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,121,14641
122,123,0,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,122,14884
123,124,0,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,123,15129
124,125,0,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,124,15376
125,126,0,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,125,15625
126,127,0,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,126,15876
127,128,0,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,127,16129
128,129,0,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,128,16384
129,130,0,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,129,16641
130,131,0,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,130,16900
131,132,0,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,131,17161
132,133,0,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,132,17424
133,134,0,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,133,17689
134,135,0,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,134,17956
135,136,0,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,135,18225
136,137,0,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,136,18496
137,138,0,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,137,18769
138,139,0,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,138,19044
139,140,0,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,139,19321
140,141,0,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,140,19600
141,142,0,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,141,19881
142,143,0,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,142,20164
143,144,0,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,143,20449
144,145,0,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,144,20736
145,146,0,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,145,21025
146,147,0,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,146,21316
147,148,0,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,147,21609
148,149,0,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,148,21904
149,150,0,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,149,22201
150,151,0,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,150,22500
151,152,0,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,151,22801
152,153,0,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,152,23104
153,154,0,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,153,23409
154,155,0,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,154,23716
155,156,0,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,155,24025
156,157,0,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,156,24336
157,158,0,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,157,24649
158,159,0,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,158,24964
159,160,0,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,159,25281
160,161,0,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,160,25600
161,162,0,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,161,25921
162,163,0,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,162,26244
163,164,0,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,163,26569
164,165,0,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,164,26896
165,166,0,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,165,27225
166,167,0,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,166,27556
167,168,0,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,167,27889
168,169,0,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,168,28224
169,170,0,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,169,28561
170,171,0,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,170,28900
171,172,0,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,171,29241
172,173,1,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,4.13,172,29584
173,174,0,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,3.35,173,29929
174,175,0,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,3.58,174,30276
175,176,0,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3.79,175,30625
176,177,0,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3.57,176,30976
177,178,0,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3.61,177,31329
178,179,0,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3.58,178,31684
179,180,0,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3.55,179,32041
180,181,0,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,3.24,180,32400
181,182,0,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,3.23,181,32761
182,183,0,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,3.55,182,33124
183,184,0,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,3.53,183,33489
184,185,0,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3.47,184,33856
185,186,0,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,3.5,185,34225
186,187,0,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,3.57,186,34596
187,188,0,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3.53,187,34969
188,189,0,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3.56,188,35344
189,190,0,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3.59,189,35721
190,191,0,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3.4,190,36100
191,192,0,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3.53,191,36481
192,193,0,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3.47,192,36864
193,194,0,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,3.46,193,37249
194,195,0,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,3.49,194,37636
195,196,0,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,3.54,195,38025
196,197,0,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,3.48,196,38416
197,198,0,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,3.51,197,38809
198,199,0,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,3.52,198,39204
199,200,0,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,3.56,199,39601
200,201,0,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,3.43,200,40000
201,202,0,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,3.49,201,40401
202,203,0,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,3.48,202,40804
203,204,0,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3.6,203,41209
204,205,0,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,204,41616
205,206,0,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,3.63,205,42025
206,207,0,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,3.51,206,42436
207,208,0,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,3.19,207,42849
208,209,0,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3.55,208,43264
209,210,0,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,3.59,209,43681
210,211,0,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3.58,210,44100
211,212,0,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3.62,211,44521
212,213,0,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3.54,212,44944
213,214,0,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,3.59,213,45369
214,215,0,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,3.49,214,45796
215,216,1,Premium,F,I1,61.8,60.0,2781,6.39,6.36,3.94,215,46225
216,217,0,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,3.64,216,46656
217,218,0,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,3.64,217,47089
218,219,0,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,3.51,218,47524
219,220,0,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,3.08,219,47961
220,221,0,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3.63,220,48400
221,222,0,Good,E,VS1,57.2,62.0,2782,5.81,5.77,3.31,221,48841
222,223,0,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,3.51,222,49284
223,224,0,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,3.63,223,49729
224,225,0,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,3.5,224,50176
225,226,0,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,3.58,225,50625
226,227,0,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,3.56,226,51076
227,228,0,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,3.47,227,51529
228,229,0,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,3.6,228,51984
229,230,0,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,3.21,229,52441
230,231,0,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3.6,230,52900
231,232,0,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,3.75,231,53361
232,233,0,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3.61,232,53824
233,234,0,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,3.18,233,54289
234,235,0,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,3.41,234,54756
235,236,0,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,3.48,235,55225
236,237,0,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,3.72,236,55696
237,238,0,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,3.62,237,56169
238,239,0,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3.58,238,56644
239,240,0,Good,G,VS1,59.4,64.0,2788,5.97,5.92,3.53,239,57121
240,241,0,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,3.55,240,57600
241,242,1,Fair,E,I1,64.5,58.0,2788,6.29,6.21,4.03,241,58081
242,243,1,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,3.93,242,58564
243,244,0,Good,F,SI1,64.2,52.0,2789,5.81,5.77,3.72,243,59049
244,245,0,Good,E,SI1,63.7,54.0,2789,5.76,5.85,3.7,244,59536
245,246,0,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,3.58,245,60025
246,247,0,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,3.61,246,60516
247,248,1,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,247,61009
248,249,0,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,3.69,248,61504
249,250,0,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,3.53,249,62001
250,251,0,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,3.22,250,62500
251,252,0,Good,G,SI2,61.0,61.0,2789,5.94,5.99,3.64,251,63001
252,253,0,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,3.38,252,63504
253,254,0,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,3.37,253,64009
254,255,0,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,3.61,254,64516
255,256,1,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,255,65025
256,257,0,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,3.41,256,65536
257,258,0,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,3.51,257,66049
258,259,0,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,3.76,258,66564
259,260,0,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,3.46,259,67081
260,261,0,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,3.53,260,67600
261,262,0,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,3.87,261,68121
262,263,0,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,3.58,262,68644
263,264,0,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,3.46,263,69169
264,265,0,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,3.54,264,69696
265,266,0,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,3.52,265,70225
266,267,0,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,3.53,266,70756
267,268,0,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,3.5,267,71289
268,269,0,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,3.51,268,71824
269,270,0,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,3.55,269,72361
270,271,0,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,3.65,270,72900
271,272,0,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3.57,271,73441
272,273,0,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3.61,272,73984
273,274,0,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3.61,273,74529
274,275,0,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3.6,274,75076
275,276,0,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,3.72,275,75625
276,277,0,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3.53,276,76176
277,278,0,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,3.64,277,76729
278,279,0,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,3.72,278,77284
279,280,0,Good,F,VS1,60.7,60.0,2795,5.74,5.72,3.48,279,77841
280,281,0,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,3.54,280,78400
281,282,0,Premium,I,IF,63.0,57.0,2795,5.72,5.7,3.6,281,78961
282,283,0,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3.57,282,79524
283,284,0,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3.58,283,80089
284,285,1,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,3.83,284,80656
285,286,0,Good,E,SI1,63.2,58.0,2796,5.7,5.76,3.62,285,81225
286,287,0,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,3.66,286,81796
287,288,0,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,3.67,287,82369
288,289,0,Premium,D,SI1,62.7,60.0,2797,5.67,5.71,3.57,288,82944
289,290,0,Premium,D,SI1,61.3,58.0,2797,5.73,5.75,3.52,289,83521
290,291,0,Premium,D,SI1,61.6,60.0,2797,5.74,5.69,3.52,290,84100
291,292,0,Ideal,F,VVS2,61.9,55.0,2797,5.34,5.35,3.31,291,84681
292,293,0,Ideal,D,VVS1,61.7,56.0,2797,5.12,5.16,3.17,292,85264
293,294,0,Ideal,G,VS2,61.9,58.0,2797,5.72,5.75,3.55,293,85849
294,295,0,Ideal,H,VS1,61.8,58.0,2797,5.77,5.81,3.58,294,86436
295,296,0,Ideal,H,VS1,61.6,56.0,2797,5.81,5.82,3.58,295,87025
296,297,0,Fair,G,VVS1,58.8,66.0,2797,5.81,5.9,3.44,296,87616
297,298,0,Premium,F,SI2,61.0,57.0,2797,6.03,6.01,3.67,297,88209
298,299,1,Fair,E,SI2,67.4,60.0,2797,6.19,6.05,4.13,298,88804
299,300,0,Very Good,H,VS2,63.4,60.0,2797,5.92,5.82,3.72,299,89401
300,301,0,Ideal,I,VS1,61.5,59.0,2798,5.87,5.91,3.62,300,90000
301,302,0,Very Good,E,SI2,58.0,62.0,2799,6.19,6.25,3.61,301,90601
302,303,0,Ideal,F,SI2,62.4,54.0,2799,5.97,6.02,3.74,302,91204
303,304,0,Ideal,D,SI1,61.9,57.0,2799,5.91,5.86,3.64,303,91809
304,305,0,Very Good,G,IF,61.6,56.0,2800,5.43,5.46,3.35,304,92416
305,306,0,Good,I,SI2,62.2,59.0,2800,6.07,6.11,3.79,305,93025
306,307,0,Premium,E,VS1,62.2,58.0,2800,5.6,5.66,3.5,306,93636
307,308,0,Very Good,I,SI2,61.3,56.0,2800,6.17,6.23,3.8,307,94249
308,309,0,Ideal,G,SI1,62.3,57.0,2800,5.99,6.08,3.76,308,94864
309,310,0,Ideal,G,SI1,61.8,57.0,2800,6.03,6.07,3.74,309,95481
310,311,0,Very Good,H,SI1,62.5,59.0,2800,5.95,6.02,3.74,310,96100
311,312,0,Premium,G,VS1,62.9,60.0,2800,5.74,5.68,3.59,311,96721
312,313,0,Ideal,I,VS1,61.8,59.0,2800,5.92,5.95,3.67,312,97344
313,314,0,Ideal,G,IF,62.3,56.0,2800,5.43,5.45,3.39,313,97969
